epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,1489.34,1.07985,0.96032,1.49802,0.80342,0.69902,0.78812,0.52979,1.20746,0.98309,1.65246,0.006139,0.006139,0.006139
158,1498.81,1.07552,0.9372,1.48613,0.8311,0.67046,0.78818,0.53273,1.19953,0.99073,1.63964,0.00611425,0.00611425,0.00611425
159,1508.3,1.07605,0.94224,1.48728,0.81072,0.71264,0.80262,0.53738,1.17039,0.97106,1.62898,0.0060895,0.0060895,0.0060895
160,1517.85,1.08433,0.94178,1.49021,0.78128,0.72693,0.79563,0.53021,1.20853,0.94851,1.659,0.00606475,0.00606475,0.00606475
161,1527.23,1.06662,0.93309,1.48044,0.76593,0.73239,0.7955,0.53164,1.20686,0.96866,1.65413,0.00604,0.00604,0.00604
162,1536.69,1.06613,0.9371,1.47116,0.78272,0.71053,0.79985,0.52758,1.23553,0.98879,1.65531,0.00601525,0.00601525,0.00601525
163,1546.11,1.08767,0.93696,1.48391,0.79168,0.69829,0.78906,0.52552,1.23802,0.98315,1.68302,0.0059905,0.0059905,0.0059905
164,1555.69,1.0794,0.93689,1.47949,0.7827,0.69791,0.79557,0.52583,1.2497,1.00936,1.70345,0.00596575,0.00596575,0.00596575
165,1565.07,1.06816,0.9107,1.47346,0.75697,0.74394,0.79251,0.52524,1.19846,0.94305,1.65314,0.005941,0.005941,0.005941
166,1574.48,1.07846,0.94164,1.47837,0.81735,0.69836,0.79235,0.52464,1.20559,0.97833,1.65612,0.00591625,0.00591625,0.00591625
167,1583.91,1.05813,0.91467,1.47018,0.78876,0.74212,0.80302,0.54214,1.19754,0.95224,1.66789,0.0058915,0.0058915,0.0058915
168,1593.38,1.06862,0.92457,1.47925,0.75882,0.75477,0.80665,0.53889,1.19967,0.91103,1.64391,0.00586675,0.00586675,0.00586675
169,1602.87,1.04952,0.91921,1.46623,0.79018,0.72697,0.795,0.53433,1.19942,0.9391,1.64066,0.005842,0.005842,0.005842
170,1612.45,1.06768,0.93331,1.47883,0.80218,0.7194,0.78961,0.53665,1.17216,0.90279,1.62938,0.00581725,0.00581725,0.00581725
171,1622,1.06972,0.92749,1.47408,0.82336,0.70824,0.79243,0.52647,1.17927,0.9927,1.63943,0.0057925,0.0057925,0.0057925
172,1631.62,1.05385,0.90778,1.46276,0.81252,0.66248,0.76531,0.51464,1.23813,1.01597,1.69869,0.00576775,0.00576775,0.00576775
